title,links
Dan Rather: Trump's reckless foreign policy is exactly what Russia ...,https://www.rawstory.com/2017/04/dan-rather-trumps-reckless-foreign-policy-is-exactly-what-russia-wants-putin-loves-this/
Is the Trump-Putin Bromance Over?,http://www.newsweek.com/trump-putin-bromance-580749
Trump & Putin had secret back-channel line of communication ...,http://americablog.com/2017/04/trump-putin-secret-back-channel-line-communication-transition.html
Trump's new Russia expert wrote a psychological profile of Vladimir ...,https://www.washingtonpost.com/news/book-party/wp/2017/03/31/trumps-new-russia-expert-wrote-a-psychological-profile-of-vladimir-putin-and-it-should-scare-trump/
The Spoils of War: Trump Lavished With Media and Bipartisan ...,https://theintercept.com/2017/04/07/the-spoils-of-war-trump-lavished-with-media-and-bipartisan-praise-for-bombing-syria/
Has Trump's usefulness to Putin come to an end?,http://www.rawstory.com/2017/04/has-trumps-usefulness-to-putin-come-to-an-end/
Trump's congratulatory call to Erdogan is revealing,http://www.cnn.com/2017/04/18/opinions/trump-congratulates-erdogan-opinion-ben-ghiat/
Trump's new Russia expert wrote a psychological profile of Putin ...,http://www.denverpost.com/2017/04/06/trump-russia-expert-profile-putin/
Trump to welcome Egypt's dictator,http://www.politico.com/story/2017/04/trump-sisi-egypt-white-house-236782
Trump Loves Putin. We Need A Secretary Of State Who Doesn't.,http://www.huffingtonpost.com/davidhalperin/trump-loves-putin-we-need_b_14108270.html
How much does Trump love Putin? And how worried should we be?,https://www.bostonglobe.com/opinion/2017/01/28/how-much-does-trump-love-putin-and-how-worried-should/ogb4ZD4DyCyKlQyX3knqkJ/story.html
Trump loves despots: He couldn't shake Angela Merkel's hand, but ...,http://www.salon.com/2017/04/04/trump-and-the-despots-he-couldnt-shake-angela-merkels-hand-but-falls-hard-for-egypts-strongman-sense-a-pattern/
Vanity Fair suggests Russians are 'hopeless primitives' from a ...,https://www.rt.com/op-edge/385192-medieval-russia-media-vanity-fair/
Trump and Putin Swim Together in the White Nationalist Fever ...,http://www.slate.com/articles/news_and_politics/politics/2016/09/why_donald_trump_loves_vladimir_putin.html
Trump's Love for Putin: a Presidential Role Model,https://www.nytimes.com/2016/09/09/us/politics/donald-trump-vladimir-putin.html
Brace Yourselves, Folks ... It's Trump 2.0,http://www.newsadvance.com/opinion/columnists/page_clarence/brace-yourselves-folks-it-s-trump/article_92d9b74a-253d-11e7-b7cc-5f8da7529298.html
Stephen Colbert imagines Vladimir Putin as a gay icon in animated ...,http://ew.com/tv/2017/04/07/stephen-colbert-vladimir-putin-gay-icon/
Donald Trump: If Vladimir Putin likes me, it's an asset,http://www.independent.co.uk/news/world/americas/us-elections/donald-trump-vladimir-putin-asset-press-conference-live-news-russia-hacking-dossier-a7522146.html
Trump Likes Putin. Investors, Not So Much.,https://www.bloomberg.com/view/articles/2017-02-06/trump-likes-putin-investors-not-so-much
Cartoons: Scenes from a Russian restaurant,http://themoderatevoice.com/cartoons-scenes-russian-restaurant/
Trump and Putin: A Love Story,http://www.newyorker.com/news/news-desk/trump-and-putin-a-love-story
Letter: Trump could lead us down the road to war,http://www.thetelegram.com/opinion/letter-to-the-editor/2017/4/20/letter--trump-could-lead-us-down-the-road-to-war.html
Trump loves Vladimir Putin. Could his tax returns explain why?,https://www.washingtonpost.com/opinions/trump-loves-vladimir-putin-could-his-tax-returns-explain-why/2016/09/12/fe797fb0-7923-11e6-beac-57a4a412e93a_story.html
Trump's First 100 Days: The case of the missing aircraft carrier,https://www.washingtonpost.com/news/powerpost/wp/2017/04/18/trumps-first-100-days-the-case-of-the-missing-aircraft-carrier/
A History of Donald Trump's Bromance With Vladimir Putin,http://www.motherjones.com/politics/2016/10/trump-putin-timeline
Melania Trump: 19 things you may not know about the US First Lady,http://www.theweek.co.uk/donald-trump/69907/melania-trump-19-things-you-may-not-know-about-the-us-first-lady
Why does Trump go googly-eyed for Putin?,https://www.washingtonpost.com/opinions/why-does-trump-go-googly-eyed-for-putin/2017/01/05/42200bee-d36a-11e6-a783-cd3fa950f2fd_story.html
How much does Trump love Putin? Russia isn't on his defense ...,http://www.dailykos.com/story/2016/12/20/1613042/-How-much-does-Trump-love-Putin-Russia-isn-t-on-his-defense-priorities-list
Trump loves a conspiracy theory. Now his allies in the fringe media ...,https://www.washingtonpost.com/news/worldviews/wp/2017/04/06/trump-loves-a-conspiracy-theory-now-his-allies-in-the-media-say-hes-falling-for-one-in-syria/
CNN correspondent to talk 'Putin's Poker Game' at forum,http://citizensvoice.com/news/cnn-correspondent-to-talk-putin-s-poker-game-at-forum-1.2172730
Donald Trump's Unrequited Love for Vladimir Putin,http://www.thedailybeast.com/articles/2016/11/05/donald-trump-s-unrequited-love-for-vladimir-putin.html
John Oliver Explains Why Donald Trump Loves Vladimir Putin, Who ...,http://deadline.com/2017/02/john-oliver-donald-trump-loves-vladimir-putin-video-1201917222/
Timeline: Donald Trump's praise for Vladimir Putin,http://www.cnn.com/2016/07/28/politics/donald-trump-vladimir-putin-quotes/
Meet the Tyrant Donald Trump Loves the Most,http://time.com/4397022/donald-trump-vladimir-putin/
Does Putin like Donald Trump, why have the US sent special forces ...,https://www.thesun.co.uk/news/2149318/putin-trump-us-russia-relations-special-forces-russian-border/
Putin probably doesn't love Trump as much as you might think,https://qz.com/783739/vladimir-putin-doesnt-love-donald-trump-as-much-as-you-might-think/
Speak out: Readers discuss Trump's trips to Florida,http://www.chicagotribune.com/suburbs/aurora-beacon-news/opinion/ct-abn-speak-out-st-0423-20170418-story.html
Donald Trump's Love Affair With Vladimir Putin Really Is Alarming,http://www.motherjones.com/kevin-drum/2016/09/donald-trumps-love-affair-vladimir-putin-really-alarming
An end to bromance: Russia's in love with Trump, right? Not as ...,http://www.salon.com/2017/02/11/an-end-to-bromance-russias-in-love-with-trump-right-not-as-much-as-you-think/
Putin and the Populists,https://www.theatlantic.com/international/archive/2017/01/putin-trump-le-pen-hungary-france-populist-bannon/512303/
Is Putin the 'Preeminent Statesman' of Our Times?,https://townhall.com/columnists/patbuchanan/2017/03/31/is-putin-the-preeminent-statesman-of-our-times-n2306729
Trump Loves Putin and Mother Russia,http://freebeacon.com/politics/trump-loves-putin-mother-russia/
Vladimir Putin the one challege Donald Trump is not up for,http://us.blastingnews.com/opinion/2017/03/vladimir-putin-the-one-challege-donald-trump-is-not-up-for-001569583.html
A top Russian dissident on why Putin's honeymoon with Trump won't ...,https://qz.com/910971/boris-akunin-russian-dissident-explains-how-democracy-died-under-putin-and-what-the-us-can-still-do-to-resist/
Brace yourselves, it's President Trump 2.0,http://www.chicagotribune.com/news/opinion/page/ct-trump-reverses-syria-china-policy-perspec-0416-md-20170414-story.html
Axios AM,https://www.axios.com/axios-am-2356925710.html
Vladimir Putin Throws Water on Trump's Condemnation of Fidel Castro,http://www.politicususa.com/2016/11/26/vladimir-putin-throws-water-trumps-condemnation-fidel-castro.html
Trump, Farage, Le Pen: Why Western conservatives love Vladimir ...,http://www.france24.com/en/20161115-why-west-right-wing-admires-putin-le-pen-farage-trump
Russians are so happy Trump was elected,https://www.usatoday.com/story/news/world/2016/11/21/us-russian-relations-trump-putin-clinton/94207878/
Beyond Trump and Putin: The American Alt-Right's Love of the ...,http://thediplomat.com/2016/10/beyond-trump-and-putin-the-american-alt-rights-love-of-the-kremlins-policies/
Trump: 'If Putin Likes Donald Trump, I Consider That An Asset … Not ...,http://www.cnsnews.com/news/article/michael-w-chapman/trump-if-putin-likes-donald-trump-i-consider-asset-not-liability
Trump says meeting with Russia, pal Vladimir Putin 'would be ...,http://www.nydailynews.com/news/politics/trump-meeting-russia-pal-putin-wonderful-article-1.2835020
